RefDes,X (mil),Y (mil),Rotate,Side,Width (mil),Height (mil),Value
C1,1150,2512.5,0,Top,110.2,39.4,0.01u
C2,881.4,2440,180,Top,110.2,39.4,0.1u
C3,814.8,2362.7,0,Top,110.2,39.4,0.1u
C4,1012.5,2362.5,180,Top,110.2,39.4,0.01u
C5,1150,2362.5,180,Top,110.2,39.4,0.1u
C6,1268.7,2304,270,Top,110.2,39.4,0.1u
C7,635.3,2025,180,Top,110.2,39.4,1u
C8,1293.9,1898,270,Top,110.2,39.4,0.1u
C9,877.4,1731.4,0,Top,110.2,39.4,0.1u
C10,637.5,1474.6,270,Top,110.2,39.4,0.1u
C11,987.5,1500,180,Top,110.2,39.4,0.1u
C12,1700,1355.6,180,Top,110.2,39.4,1u
C13,401.1,1336.4,180,Top,173.2,70.9,47u
C14,800,1337.5,180,Top,110.2,39.4,0.1u
C15,188.6,1173.9,270,Top,173.2,70.9,47u
C16,662.5,1187.5,0,Top,110.2,39.4,0.1u
C17,1700,1130.6,0,Top,110.2,39.4,1u
C18,991.5,1100,180,Top,110.2,39.4,0.1u
C19,662.5,1037.5,0,Top,110.2,39.4,10p
C20,401.1,1011.4,0,Top,173.2,70.9,47u
C21,1175,1012.5,180,Top,110.2,39.4,0.01u
C22,800,962.5,180,Top,110.2,39.4,10p
C23,1175,933.5,180,Top,110.2,39.4,0.1u
C24,1450,912.5,0,Top,110.2,39.4,0.1u
C25,662.5,837.5,180,Top,110.2,39.4,100p 1%
C26,1175,837.5,180,Top,110.2,39.4,27p 1%
C27,1312.5,837.5,180,Top,110.2,39.4,100p 1%
C28,1450,837.5,0,Top,110.2,39.4,0.1u
C29,799.5,762.5,0,Top,110.2,39.4,27p 1%
C30,987.5,687.5,180,Top,110.2,39.4,0.1u
C31,987.5,612.5,0,Top,110.2,39.4,270p 5%
C32,987.5,537.5,0,Top,110.2,39.4,330p 5%
CN1,375,1900,180,Top,300,200,
D1,1012.5,2562.5,270,Top,133.6,135,
D2,1650,2112.5,180,Top,106.3,51.2,
F1,781.3,3000,270,Top,224.4,133.9,
IC1,1371.9,2300,90,Top,152.3,131.1,
IC2,984.3,2043.5,0,Top,519.7,519.7,
IC3,730.5,1468.5,270,Top,152.3,131.1,
IC4,987.5,1300,90,Top,299.2,196.9,
IC5,1700,1243.1,0,Top,152.3,131.1,
IC6,401.1,1173.9,0,Top,291.3,196.9,
IC7,1350,1068.8,90,Top,198.3,183.1,
IC8,987.5,893.8,90,Top,283.5,196.9,
J1,1484.3,2780.6,180,Top,582.7,1374,
J2,484.3,3039,180,Top,393.7,267.7,
J3,1550,1850,270,Top,400,100,
J4,1750,1850,270,Top,400,100,
J5,484.3,369.4,0,Top,582.7,1374,
J6,1484.3,369.4,0,Top,582.7,1374,
L1,212.5,2887.4,0,Top,126,59.1,74279206
L2,637.4,2218.8,0,Top,126,59.1,74279206
R1,1012.5,2437.5,0,Top,110.2,39.4,10k
R2,1150,2437.5,180,Top,110.2,39.4,10k
R3,637.5,2150,0,Top,110.2,39.4,22
R4,1525,2112.5,180,Top,110.2,39.4,1k
R5,637.5,2087.5,0,Top,110.2,39.4,22
R6,662.5,1337.5,180,Top,110.2,39.4,10k
R7,1175,1337.5,0,Top,110.2,39.4,2k
R8,662.5,1262.5,0,Top,110.2,39.4,12.7k
R9,800,1262.5,180,Top,110.2,39.4,10k
R10,1175,1262.5,0,Top,110.2,39.4,2k
R11,800,1187.5,180,Top,110.2,39.4,10k
R12,1175,1187.5,180,Top,110.2,39.4,5k1
R13,662.5,1112.5,180,Top,110.2,39.4,7.68k
R14,800,1112.5,0,Top,110.2,39.4,10k
R15,800,1037.5,0,Top,110.2,39.4,1k
R16,662.5,962.5,0,Top,110.2,39.4,1k
R17,800,837.5,0,Top,110.2,39.4,820 1%
R18,662.5,762.5,180,Top,110.2,39.4,120 1%
R19,1175,762.5,180,Top,110.2,39.4,820 1%
R20,1312.5,762.5,0,Top,110.2,39.4,120 1%
R21,662.5,687.5,180,Top,110.2,39.4,169 1%
R22,800,687.5,0,Top,110.2,39.4,91 1%
R23,1175,687.5,180,Top,110.2,39.4,91 1%
R24,1312.5,687.5,180,Top,110.2,39.4,169 1%
R25,800,612.5,180,Top,110.2,39.4,75 1%
R26,1175,612.5,0,Top,110.2,39.4,75 1%
S1,368.5,1563.6,180,Top,374,271.7,
X1,1700,1505.6,180,Top,220.5,149.6,
Z1,387.5,2887.5,0,Top,110.2,39.4,
Z2,612.5,2887.5,180,Top,110.2,39.4,
Z3,1456.3,2533.5,0,Top,110.2,39.4,
Z4,537.5,600,180,Top,110.2,39.4,
Z5,1537.5,600,180,Top,110.2,39.4,
